"","Treatment","X.","Temp_mean","Temp_sd","Temp_min","Temp_max","DO_mean","DO_sd","DO_min","DO_max","Salinity_mean","Salinity_sd","Salinity_min","Salinity_max","pH_mean","pH_sd","pH_min","pH_max"
"1","Treatment Summary","AMB",28.626887755102,0.0253995286259758,28.55,28.84,6.41909090909091,0.0996704306164615,6.18,6.63,35.6707070707071,1.52524193139641,31.06,38.46,8.06505050505051,0.0666265253708488,7.81,8.41
"2","Treatment Summary","MP+",28.6299487179487,0.0312043057413794,28.54,28.87,6.41985858585859,0.108067004041275,6.14,6.86,35.7203787878788,1.5916576561466,29.97,38.36,8.06258585858586,0.0591549647093691,7.813,8.29
"3","Treatment Summary","OAW",30.0663636363636,0.570247883663989,28.59,30.63,6.29070707070707,0.0867255724937611,6.08,6.5,35.4274747474747,1.59598407395992,30.09,38.45,7.96337373737374,0.0793169553645131,7.809,8.41
"4","Treatment Summary","OAW+MP",30.1427272727273,0.52855193076592,28.6,30.64,6.2690404040404,0.0718330578977571,6.09,6.47,35.8831818181818,1.66724657577676,29.83,38.67,7.9475202020202,0.108415571473982,7.247,8.21
"5","AMB","10aD - 1",28.6231818181818,0.0167293194682304,28.6,28.65,6.415,0.095953857958619,6.19,6.56,36.2718181818182,0.982589563898504,34.62,37.85,8.04363636363636,0.0517443766942894,7.913,8.135
"6","AMB","11B - 1",28.6254545454545,0.0176546965900948,28.59,28.65,6.41772727272727,0.0988472519637203,6.21,6.56,34.725,2.04044054533515,31.51,37.74,8.07745454545454,0.04950683192173,7.981,8.16
"7","AMB","12E - 1",28.6447619047619,0.049256374980204,28.57,28.84,6.43181818181818,0.115455056753137,6.22,6.62,35.7536363636364,1.29163073543097,32.99,37.37,8.08131818181818,0.0911782066503031,7.913,8.41
"8","AMB","15E - 3",28.61,0.0200000000000004,28.58,28.64,6.42772727272727,0.105556656787754,6.22,6.63,36.0118181818182,1.11456861765582,34.49,37.84,8.08772727272727,0.0477824253587047,7.977,8.175
"9","AMB","2aD - 1",28.6268181818182,0.0237820187449342,28.55,28.66,6.415,0.0852307791486486,6.24,6.56,36.0972727272727,1.40414075341871,33.51,38.46,8.08468181818182,0.0711245630088752,7.815,8.173
"10","AMB","2B - 1",28.6385714285714,0.0131475147026781,28.61,28.66,6.40045454545455,0.106121102103626,6.22,6.59,35.8718181818182,0.989524351170016,34.14,37.47,8.01172727272727,0.0521400876925687,7.861,8.087
"11","AMB","5aC - 2",28.6368181818182,0.0178315834396546,28.6,28.67,6.42,0.112588589458215,6.18,6.63,35.6977272727273,1.4706232297848,32.62,38.18,8.03381818181818,0.071788469934833,7.81,8.19
"12","AMB","5D - 1",28.6163636363636,0.0181384764796917,28.56,28.64,6.45954545454545,0.093323669876979,6.25,6.6,34.0454545454545,1.60486678655813,31.06,37.39,8.08490909090909,0.0542866370393208,7.886,8.152
"13","AMB","6D - 1",28.6213636363636,0.0169861160518856,28.59,28.65,6.38454545454545,0.0788444685215788,6.23,6.53,36.5618181818182,0.904141984022823,34.93,38.02,8.08018181818182,0.0593718198054682,7.931,8.22
"14","MP+","10aB - 1",28.6072727272727,0.0364079816186113,28.54,28.66,6.375,0.107204744031489,6.14,6.55,35.1913636363636,1.65654343353446,32.23,38.01,8.06522727272727,0.0479075814838983,7.937,8.154
"15","MP+","11A - 1",28.6254545454545,0.0122386089807441,28.61,28.65,6.42136363636364,0.0828248556289518,6.22,6.58,36.4202272727273,1.07075015679121,34.95,38.36,8.06577272727273,0.0563153804739173,7.947,8.2
"16","MP+","12E - 2",28.6447619047619,0.0307602093001732,28.62,28.77,6.40363636363636,0.113831347868572,6.19,6.62,36.2127272727273,0.895742213225497,34.22,37.55,8.02245454545455,0.0502571741125936,7.906,8.099
"17","MP+","15E - 1",28.6331818181818,0.0161500003350619,28.59,28.66,6.38318181818182,0.0934719903875648,6.21,6.54,36.4563636363636,0.945226329432699,34.61,37.94,8.0645,0.0704953561456018,7.813,8.161
"18","MP+","2aC - 1",28.6290909090909,0.0154022542905066,28.61,28.65,6.43636363636364,0.102145808694073,6.21,6.6,35.6172727272727,1.39705534477473,32.55,37.63,8.05372727272727,0.0581583894928176,7.952,8.22
"19","MP+","2E - 1",28.6590476190476,0.0512742393317312,28.61,28.87,6.47363636363636,0.135595527898774,6.24,6.86,35.2881818181818,1.50895623453728,32.08,37.22,8.06172727272727,0.0460736282571627,7.939,8.12
"20","MP+","5aE - 1",28.6109090909091,0.0202152914561728,28.56,28.64,6.40727272727273,0.0871879097222292,6.2,6.52,36.1313636363636,1.07055524291768,33.96,38.09,8.09386363636364,0.0659966055797715,7.96,8.29
"21","MP+","5C - 1",28.6190909090909,0.0182336922335416,28.59,28.65,6.39045454545455,0.0733859512134157,6.21,6.52,36.5618181818182,0.871695864194434,35.01,37.92,8.04254545454545,0.0626598734459282,7.926,8.18
"22","MP+","6B - 1",28.6433333333333,0.0241522945769826,28.59,28.71,6.48781818181818,0.121160906929444,6.23,6.64,33.6040909090909,2.14457157246785,29.97,37.55,8.09345454545455,0.0429193343852078,7.967,8.154
"23","OAW","10aC - 1",30.1436363636364,0.554501453083634,28.6,30.6,6.31045454545455,0.101064678617553,6.16,6.48,34.62,1.40289836036821,31.49,37.35,7.95013636363636,0.0625675219678293,7.852,8.078
"24","OAW","11E - 1",29.3304545454545,0.215262348746544,28.59,29.55,6.35227272727273,0.0957144472441617,6.15,6.5,35.4913636363636,1.21124216231007,33.55,37.56,7.94259090909091,0.0683343733423127,7.809,8.083
"25","OAW","12A - 1",30.1518181818182,0.536502219971765,28.62,30.6,6.25090909090909,0.0534441489433319,6.13,6.35,36.4213636363636,1.07413440435297,34.22,38.45,7.95481818181818,0.0774938623459865,7.81,8.068
"26","OAW","15E - 2",30.1559090909091,0.539555894018926,28.63,30.61,6.30045454545455,0.100212976667898,6.12,6.48,34.6413636363636,1.56521501780045,32.09,37.54,7.96063636363636,0.0680437852412452,7.848,8.11
"27","OAW","2A - 1",30.1709090909091,0.542550494388346,28.63,30.63,6.33181818181818,0.0815116914568447,6.2,6.5,33.8940909090909,1.95143819757661,30.09,37.49,7.94781818181818,0.0807215297672521,7.838,8.155
"28","OAW","2aE - 1",30.1477272727273,0.54909390139949,28.63,30.6,6.255,0.0541382709453523,6.18,6.35,36.3718181818182,0.826170951775988,34.41,37.45,7.99286363636364,0.120138132978963,7.819,8.41
"29","OAW","5aC - 1",30.1745454545455,0.544415171342496,28.59,30.63,6.26863636363636,0.092956490310839,6.08,6.48,35.4931818181818,1.2249485367757,34.01,37.87,7.96790909090909,0.077641366668689,7.823,8.12
"30","OAW","5B - 1",30.1590909090909,0.544696587371696,28.62,30.61,6.25863636363636,0.0752326837880765,6.13,6.39,36.1645454545455,1.46305852915742,33.78,38.25,7.99172727272727,0.0734601815162355,7.881,8.121
"31","OAW","6E - 1",30.1631818181818,0.53821916551705,28.62,30.62,6.28818181818182,0.0597324481999974,6.19,6.38,35.7495454545455,1.50825183343949,33.03,38.4,7.96186363636364,0.0683571123234065,7.861,8.081
"32","OAW+MP","10aA - 1",30.2013636363636,0.543080240099147,28.63,30.63,6.22772727272727,0.0610956952876713,6.11,6.32,37.0095454545455,0.749320182519286,35.29,37.91,7.96290909090909,0.0766332695939433,7.797,8.12
"33","OAW+MP","11E - 2",30.1690909090909,0.548425530742837,28.64,30.62,6.27318181818182,0.0601099281583621,6.18,6.38,35.0890909090909,1.44885146332209,32.53,37.58,7.94304545454545,0.0937527027027449,7.806,8.14
"34","OAW+MP","12B - 1",30.1231818181818,0.545268709324095,28.6,30.59,6.30454545454545,0.0717619923760729,6.17,6.44,34.4804545454545,2.3536566834502,29.83,37.55,8.01540909090909,0.0902017099884947,7.827,8.21
"35","OAW+MP","15C - 1",30.0131818181818,0.471273718500107,28.61,30.56,6.27590909090909,0.0855602873450223,6.14,6.47,35.6490909090909,1.43865317005974,33.35,37.89,7.93736363636364,0.0970844234745476,7.724,8.15
"36","OAW+MP","2aB - 1",30.1627272727273,0.538721430073817,28.6,30.62,6.25090909090909,0.0557126206877409,6.15,6.34,36.6818181818182,0.992997560845018,34.84,38.25,7.87386363636364,0.219220110185988,7.247,8.051
"37","OAW+MP","2D - 1",30.1659090909091,0.534920190672974,28.64,30.62,6.265,0.0629247471947548,6.15,6.41,36.5459090909091,1.01793749967606,34.55,38.43,7.95209090909091,0.0631950187088381,7.832,8.066
"38","OAW+MP","5aA - 1",30.1509090909091,0.556647354306366,28.63,30.62,6.30363636363636,0.0632113201544708,6.2,6.42,35.5359090909091,0.998907303440014,33.55,36.98,7.95813636363636,0.0703794446821387,7.828,8.088
"39","OAW+MP","5C - 2",30.165,0.541960726041499,28.6,30.64,6.30590909090909,0.0619261534801612,6.16,6.42,34.905,2.06946680503526,31.59,37.72,7.94431818181818,0.0752376465820368,7.826,8.093
"40","OAW+MP","6B - 2",30.1331818181818,0.549262591061319,28.62,30.62,6.21454545454545,0.0660971343465901,6.09,6.37,37.0518181818182,0.840978094746918,35.89,38.67,7.94054545454545,0.0654469812849099,7.84,8.061
